Country,anchor_year,forecast_year_plus1,pred_rf_plus1,forecast_year_plus5,pred_rf_plus5,forecast_year_plus10,pred_rf_plus10
Soviet Union,2017,2018,0.15420311677519374,2022,0.16535121940353448,2027,0.2983832245575213
Spain,2017,2018,1.6082632743048153,2022,1.8491199852281293,2027,4.6305413837150695
Sri Lanka,2017,2018,3.9327371748295334,2022,8.356646364834388,2027,21.29842456934572
St. Kitts and Nevis,2017,2018,0.05926840202809773,2022,0.05415398550662892,2027,0.10285016587285524
St. Lucia,2017,2018,0.05926840202809772,2022,0.054153985506628914,2027,0.10285016587285525
Sudan,2017,2018,36.391151211705896,2022,25.449659774058127,2027,28.144777382343495
Suriname,2017,2018,0.09887812785740069,2022,0.1278164868855466,2027,0.16087463916980027
Swaziland,2017,2018,0.08328670939544212,2022,0.1305076031742649,2027,0.16708567094808172
Sweden,2017,2018,8.93550221607369,2022,6.309322545349755,2027,8.370245033795785
Switzerland,2017,2018,0.41886151106957104,2022,0.49460106780305535,2027,0.9724372280638165
Syria,2017,2018,58.441638719463654,2022,61.728418262112,2027,63.84827111883192
Taiwan,2017,2018,0.5389602535487625,2022,0.5421315847978747,2027,1.2670922678264356
Tajikistan,2017,2018,0.749440159907073,2022,1.0373030123916864,2027,1.124169617566333
Tanzania,2017,2018,3.5762301078260155,2022,6.445329611467365,2027,13.6605053916721
Thailand,2017,2018,40.484652067286234,2022,43.47642815320908,2027,65.61236261698465
Togo,2017,2018,0.579298923022012,2022,1.9392055213151638,2027,4.188694740559975
Trinidad and Tobago,2017,2018,0.27249746392440943,2022,0.34404983488757296,2027,0.4255391112164687
Tunisia,2017,2018,12.277415716905809,2022,11.558712390384859,2027,22.066657836215047
Turkey,2017,2018,63.6452982192756,2022,56.302486045580956,2027,61.6442259681276
Turkmenistan,2017,2018,0.22970294134186317,2022,0.33241731324205914,2027,0.6792195642957166
Uganda,2017,2018,4.774406678150682,2022,5.858054256725189,2027,14.33813555827581
Ukraine,2017,2018,56.29749718717454,2022,56.943250910285236,2027,49.72744261475135
United Arab Emirates,2017,2018,0.4975766757436554,2022,0.5770138760999644,2027,2.356413894866071
United Kingdom,2017,2018,38.56231900009743,2022,19.9019011362097,2027,31.257757189776626
United States,2017,2018,33.13908664607243,2022,24.108143323771724,2027,23.86097241167082
Uruguay,2017,2018,0.4070364604187202,2022,0.47580173989592717,2027,0.5434054650798463
Uzbekistan,2017,2018,0.43658624891761505,2022,0.6483307879247111,2027,1.1175284872168696
Vanuatu,2017,2018,0.07235971376639515,2022,0.08176970338309673,2027,0.12690740622384994
Vatican City,2017,2018,0.057673280018008324,2022,0.08640734992690494,2027,0.14057671930153148
Venezuela,2017,2018,2.6889773927864526,2022,2.641388510903375,2027,4.505518279946706
Vietnam,2017,2018,0.36751047601007036,2022,0.590748708997205,2027,1.3484493857406972
Wallis and Futuna,2017,2018,0.06757927464327906,2022,0.07707864454086502,2027,0.11862610023898287
West Bank and Gaza Strip,2017,2018,38.203629003661675,2022,29.601057867277298,2027,41.29927422780935
West Germany (FRG),2017,2018,0.05767328001800834,2022,0.08640734992690492,2027,0.14057671930153148
Western Sahara,2017,2018,0.07548659349407108,2022,0.1414905733380054,2027,0.33261948695285454
Yemen,2017,2018,78.30826766151671,2022,35.8605988146994,2027,43.27451875675322
Yugoslavia,2017,2018,0.15420311677519374,2022,0.16535121940353448,2027,0.2983832245575212
Zaire,2017,2018,0.08328670939544211,2022,0.1305076031742649,2027,0.16708567094808172
Zambia,2017,2018,0.22452732938769127,2022,0.382349687148026,2027,0.8581863366097988
Zimbabwe,2017,2018,0.2776548268429992,2022,0.3938148868907724,2027,0.908234453941247
