Country,mean_attacks,mean_fatalities,attack_slope,cluster
Lebanon,51.625,86.25,-0.1601172383847409,3
Lesotho,0.6041666666666666,1.4791666666666667,-0.022199305254017202,3
Liberia,0.7083333333333334,8.916666666666666,0.014546244029526754,3
Libya,46.854166666666664,58.8125,5.130427702996245,0
Lithuania,0.16666666666666666,0.4375,0.0010855405992182964,3
Luxembourg,0.3333333333333333,0.0,-0.012158054711246822,3
Macau,0.6875,0.020833333333333332,0.011886669561440695,3
Macedonia,2.4583333333333335,1.1458333333333333,0.11636995223621599,3
Madagascar,0.5625,3.1875,0.020462440295267253,3
Malawi,0.10416666666666667,21.645833333333332,0.0029852366478506608,3
Malaysia,2.0625,5.979166666666667,0.1018779852366504,3
Maldives,0.4583333333333333,14.270833333333334,0.04439861050803418,3
Mali,11.791666666666666,35.8125,1.23849326964832,3
Malta,0.4791666666666667,0.4375,-0.0008141554494139345,3
Martinique,0.25,0.0,-0.010855405992184453,3
Mauritania,0.375,4.0625,0.014546244029526575,3
Mauritius,0.041666666666666664,0.0,-0.0010855405992184744,3
Mexico,10.916666666666666,16.645833333333332,0.05026052974380643,3
Moldova,0.4375,0.5833333333333334,0.007110290924880537,3
Montenegro,0.10416666666666667,0.7708333333333334,0.008847155883630267,3
Morocco,0.75,23.3125,0.0005427702996087188,3
Mozambique,7.5625,62.3125,0.21195180199739866,3
Myanmar,11.375,31.541666666666668,0.7190620929222911,3
Namibia,3.1458333333333335,5.25,-0.11327616152844562,3
Nepal,25.3125,44.104166666666664,2.099706904038252,3
Netherlands,2.7083333333333335,0.8333333333333334,-0.04201042118975355,3
New Caledonia,0.6458333333333334,4.020833333333333,-0.024587494572297964,3
New Hebrides,0.020833333333333332,0.0,-0.00146547980894489,3
New Zealand,0.4166666666666667,0.14583333333333334,0.011181068171949755,3
Nicaragua,41.041666666666664,222.47916666666666,-1.9084889274859618,0
Niger,3.2083333333333335,37.354166666666664,0.2495657837603196,3
Nigeria,81.39583333333333,476.1666666666667,8.412668258793103,0
North Korea,0.020833333333333332,3.0,5.4277029960938247e-05,3
North Yemen,0.125,0.22916666666666666,-0.009227095093356756,3
Norway,0.3958333333333333,9.75,0.008412939643942678,3
Pakistan,299.3333333333333,499.7291666666667,25.814264003474324,1
Panama,2.6458333333333335,1.0625,-0.05118323925315061,3
Papua New Guinea,1.8541666666666667,6.9375,0.007327399044722856,3
Paraguay,2.375,1.6041666666666667,0.17488059053409152,3
